,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,TRIPLE_per_change,TRIPLE_cumulative,Portfolio_total,Portfolio_SPY_long,beta_exposure,t,Portfolio_SPXL_short
2017-07-17,245.52999877929688,1.0,1.0,35.619998931884766,1.0,1.0,1.0,1.0,3000.0,3000.0,0.0,0.0,0.0
2017-07-18,245.66000366210938,0.000529486757051556,1.0005294867570516,35.68000030517578,0.0016844855443638451,1.0016844855443638,0.001588460271154668,1.0015884602711547,4003.272945815519,3001.588460271155,-3003.4649963619368,-3003.4649963619368,1001.684485544364
2017-07-19,246.99000549316406,0.005413994183945503,1.0059463475792203,36.2599983215332,0.016255549646766232,1.0179674174295257,0.01624198255183651,1.0178562425669995,4035.8064601671867,3017.8390427376607,-3036.0632095509172,-3036.0632095509172,1017.9674174295259
2017-07-20,247.10000610351562,0.00044536462166533397,1.0063943604937255,36.290000915527344,0.0008274295472407989,1.0188097137488352,0.001336093864996002,1.019216194048141,4037.9927952300122,3019.1830814811765,-3037.24605976533,-3037.24605976533,1018.8097137488355
2017-07-21,246.8800048828125,-0.0008903327206352118,1.0054983346647153,36.220001220703125,-0.00192889757669501,1.0168445341608718,-0.0026709981619056355,1.016493869467254,4033.339538155018,3016.495003994146,-3034.0385984884706,-3034.0385984884706,1016.8445341608722
2017-07-24,246.82000732421875,-0.0002430231586484366,1.0052539752834093,36.16999816894531,-0.0013805369981387816,1.0154407426601075,-0.0007290694759453098,1.0157527748145398,4031.202668510336,3015.761925850228,-3030.560302130095,-3030.560302130095,1015.4407426601078
2017-07-25,247.4199981689453,0.002430884154129398,1.0076976312428014,36.439998626708984,0.007464762826432381,1.0230207669683615,0.007292652462388194,1.0231603067889687,4046.113660696766,3023.0928937284043,-3045.9694071766808,-3045.9694071766808,1023.020766968362
2017-07-26,247.42999267578125,4.039490303897608e-05,1.007738337090908,36.439998626708984,0.0,1.0230207669683615,0.00012118470911692825,1.023284298173127,4046.2357782410863,3023.2150112727245,-3045.8472896323606,-3045.8472896323606,1023.020766968362
2017-07-27,247.1999969482422,-0.0009295385941365808,1.0068016054137912,36.34000015258789,-0.0027441953317692835,1.0202133981553438,-0.0027886157824097424,1.0204307514293494,4040.6182143967176,3020.4048162413733,-3040.2353782246596,-3040.2353782246596,1020.2133981553443
2017-07-28,246.91000366210938,-0.0011731120134015338,1.0056205143553683,36.189998626708984,-0.0041277249655768955,1.016002237841562,-0.0035193360402046014,1.016839512709311,4032.863780907667,3016.861543066105,-3031.1451704585825,-3031.1451704585825,1016.0022378415624
2017-07-31,246.77000427246094,-0.0005670057412499041,1.00505032175021,36.130001068115234,-0.001657849153646307,1.0143178593914537,-0.0017010172237497123,1.0151098511844032,4029.468824642084,3015.15096525063,-3027.8026129237314,-3027.8026129237314,1014.3178593914541
2017-08-01,247.32000732421875,0.0022288083731218933,1.0072903863227358,36.349998474121094,0.006089050636646887,1.0204940921989436,0.00668642511936568,1.0218973071922781,4042.3652511671517,3021.8711589682075,-3039.6111176286245,-3039.6111176286245,1020.4940921989439
2017-08-02,247.44000244140625,0.0004851816013016208,1.0077791050853475,36.400001525878906,0.001375599830998997,1.021897883699708,0.0014555448039048624,1.0233847245078862,4045.235198955751,3023.3373152560425,-3042.356335843082,-3042.356335843082,1021.8978836997082
2017-08-03,246.9600067138672,-0.001939846923711186,1.0058241678885673,36.220001220703125,-0.00494506312170917,1.0168445341608718,-0.005819540771133558,1.0174290953790572,4034.317037826574,3017.472503665702,-3033.0610988169146,-3033.0610988169146,1016.8445341608722
2017-08-04,247.41000366210938,0.0018221450275694995,1.0076569253946948,36.38999938964844,0.004693488769076604,1.021617082561853,0.005466435082708498,1.0229908054802057,4044.5878587459374,3022.970776184084,-3041.8804715014753,-3041.8804715014753,1021.6170825618532
2017-08-07,247.8699951171875,0.0018592273888260458,1.0095303887489289,36.54999923706055,0.004396808191692969,1.0261089369192344,0.005577682166478137,1.0286967230524038,4054.700103166021,3028.5911662467865,-3049.7356445109176,-3049.7356445109176,1026.1089369192346
2017-08-08,247.25999450683594,-0.002460969953475667,1.0070459647950971,36.33000183105469,-0.006019081001314763,1.0199327041117445,-0.0073829098604270005,1.0211019478723913,4041.0705984970364,3021.1378943852915,-3038.660217949943,-3038.660217949943,1019.9327041117448
2017-08-09,247.25,-4.0421042861726875e-05,1.0070052589469904,36.279998779296875,-0.0013763569842452084,1.0185289126109802,-0.00012126312858518062,1.020978125855588,4039.544689451952,3021.0157768409713,-3034.570960991971,-3034.570960991971,1018.5289126109805
2017-08-10,243.75999450683594,-0.014115290164465333,0.9927910875198112,34.779998779296875,-0.041345095106672725,0.9764177378501833,-0.042345870493396,0.977743918361517,3954.791000409617,2978.3732625594334,-2950.8799509911173,-2950.8799509911173,976.4177378501836
2017-08-11,244.1199951171875,0.0014768650248777604,0.9942573059539795,34.88999938964844,0.0031627548652197746,0.9795059078010558,0.004430595074633281,0.9820759057504621,3962.277825662995,2982.7719178619386,-2955.7458055412303,-2955.7458055412303,979.5059078010562
2017-08-14,246.5399932861328,0.009913150161188655,1.0041135279267603,35.90999984741211,0.029234751378823365,1.0081415194897083,0.029739450483565966,1.011282303520631,4020.48210326999,3012.340583780281,-3012.083974688845,-3012.083974688845,1008.1415194897088
2017-08-15,246.50999450683594,-0.00012167916003003043,1.0039913482361074,35.90999984741211,0.0,1.0081415194897083,-0.0003650374800900913,1.0109131475768942,4020.1155641980313,3011.9740447083223,-3012.450513760804,-3012.450513760804,1008.1415194897088
2017-08-16,246.94000244140625,0.001744383368433411,1.0057426940460215,36.09000015258789,0.005012539847970787,1.0131948690285444,0.005233150105300233,1.0162034078215856,4030.4229511666094,3017.2280821380646,-3022.3565249475705,-3022.3565249475705,1013.1948690285449
