,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2019-07-26,302.01,0.01,1.23,55.74,0.02,1.56,0.02,1.65,14.2,-26.04,4289.19,-1451.29,2837.9,-64.68
2019-07-29,301.46,-0.0,1.23,55.46,-0.01,1.55,-0.01,1.64,14.2,-26.04,4281.38,-1444.0,2837.38,-50.62
2019-07-30,300.72,-0.0,1.22,55.1,-0.01,1.54,-0.01,1.63,14.2,-26.04,4270.87,-1434.63,2836.25,-33.01
2019-07-31,297.43,-0.01,1.21,53.19,-0.03,1.49,-0.03,1.57,14.2,-26.04,4224.15,-1384.9,2839.25,69.46
2019-08-01,294.84,-0.01,1.2,51.82,-0.03,1.45,-0.03,1.53,14.2,-26.04,4187.36,-1349.22,2838.14,139.69
2019-08-02,292.62,-0.01,1.19,50.67,-0.02,1.42,-0.02,1.5,13.55,-26.69,3965.27,-1352.28,2612.99,-91.57
2019-08-05,283.82,-0.03,1.16,46.13,-0.09,1.29,-0.09,1.36,13.0,-27.24,3689.47,-1256.56,2432.9,-80.22
2019-08-06,287.8,0.01,1.17,48.0,0.04,1.35,0.04,1.42,13.31,-26.92,3831.85,-1292.38,2539.47,-45.29
2019-08-07,287.97,0.0,1.17,48.09,0.0,1.35,0.0,1.42,13.31,-26.92,3834.12,-1294.8,2539.31,-50.3
2019-08-08,293.62,0.02,1.2,50.84,0.06,1.42,0.06,1.51,13.65,-26.59,4007.94,-1351.77,2656.17,-47.38
2019-08-09,291.62,-0.01,1.19,49.73,-0.02,1.39,-0.02,1.48,13.65,-26.59,3980.64,-1322.26,2658.38,13.86
2019-08-12,288.07,-0.01,1.17,47.96,-0.04,1.34,-0.04,1.42,13.65,-26.59,3932.18,-1275.2,2656.98,106.59
2019-08-13,292.55,0.02,1.19,50.21,0.05,1.41,0.05,1.49,13.65,-26.59,3993.34,-1335.02,2658.31,-11.74
2019-08-14,283.9,-0.03,1.16,45.73,-0.09,1.28,-0.09,1.36,12.82,-27.42,3639.82,-1253.83,2385.99,-121.67
2019-08-15,284.65,0.0,1.16,46.1,0.01,1.29,0.01,1.37,12.82,-27.42,3649.44,-1263.97,2385.46,-142.49
2019-08-16,288.85,0.01,1.18,48.08,0.04,1.35,0.04,1.43,13.26,-26.98,3829.04,-1297.33,2531.71,-62.96
2019-08-19,292.33,0.01,1.19,49.81,0.04,1.4,0.04,1.48,13.52,-26.71,3953.6,-1330.65,2622.95,-38.34
2019-08-20,290.09,-0.01,1.18,48.68,-0.02,1.36,-0.02,1.44,13.52,-26.71,3923.31,-1300.46,2622.85,21.93
2019-08-21,292.45,0.01,1.19,49.88,0.02,1.4,0.02,1.48,13.52,-26.71,3955.22,-1332.52,2622.71,-42.33
2019-08-22,292.36,-0.0,1.19,49.77,-0.0,1.39,-0.0,1.48,13.52,-26.71,3954.01,-1329.58,2624.43,-34.73
2019-08-23,284.85,-0.03,1.16,45.98,-0.08,1.29,-0.08,1.36,12.92,-27.32,3679.55,-1256.24,2423.31,-89.17
2019-08-26,288.0,0.01,1.17,47.47,0.03,1.33,0.03,1.41,13.21,-27.03,3805.54,-1282.89,2522.65,-43.12
2019-08-27,286.87,-0.0,1.17,46.9,-0.01,1.31,-0.01,1.39,13.21,-27.03,3790.61,-1267.48,2523.13,-11.84
2019-08-28,288.89,0.01,1.18,47.89,0.02,1.34,0.02,1.42,13.21,-27.03,3817.3,-1294.24,2523.06,-65.41
2019-08-29,292.58,0.01,1.19,49.68,0.04,1.39,0.04,1.48,13.49,-26.75,3946.95,-1328.88,2618.07,-39.68
2019-08-30,292.45,-0.0,1.19,49.64,-0.0,1.39,-0.0,1.48,13.49,-26.75,3945.2,-1327.81,2617.39,-38.23
2019-09-03,290.74,-0.01,1.18,48.78,-0.02,1.37,-0.02,1.45,13.49,-26.75,3922.13,-1304.8,2617.32,7.72
2019-09-04,294.04,0.01,1.2,50.36,0.03,1.41,0.03,1.5,13.49,-26.75,3966.65,-1347.07,2619.58,-74.56
2019-09-05,297.82,0.01,1.21,52.32,0.04,1.47,0.04,1.56,13.79,-26.45,4108.06,-1383.61,2724.45,-42.77
2019-09-06,298.05,0.0,1.21,52.44,0.0,1.47,0.0,1.56,13.79,-26.45,4111.23,-1386.78,2724.45,-49.12
2019-09-09,298.2,0.0,1.21,52.46,0.0,1.47,0.0,1.56,13.79,-26.45,4113.3,-1387.31,2725.99,-48.63
2019-09-10,298.13,-0.0,1.21,52.52,0.0,1.47,-0.0,1.56,13.79,-26.45,4112.34,-1388.9,2723.44,-54.36
2019-09-11,300.25,0.01,1.22,53.62,0.02,1.5,0.02,1.6,13.79,-26.45,4141.58,-1417.99,2723.59,-112.38
2019-09-12,301.29,0.0,1.23,54.1,0.01,1.52,0.01,1.61,13.79,-26.45,4155.93,-1430.68,2725.24,-136.12
2019-09-13,301.09,-0.0,1.23,53.96,-0.0,1.51,-0.0,1.61,13.79,-26.45,4153.17,-1426.98,2726.19,-127.77
2019-09-16,300.16,-0.0,1.22,53.5,-0.01,1.5,-0.01,1.59,13.79,-26.45,4140.34,-1414.81,2725.52,-104.11
2019-09-17,300.92,0.0,1.22,53.85,0.01,1.51,0.01,1.61,13.79,-26.45,4150.82,-1424.07,2726.75,-121.39
2019-09-18,301.1,0.0,1.23,53.97,0.0,1.51,0.0,1.61,13.79,-26.45,4153.3,-1427.24,2726.06,-128.43
2019-09-19,301.08,-0.0,1.23,53.95,-0.0,1.51,-0.0,1.61,13.79,-26.45,4153.03,-1426.72,2726.31,-127.12
2019-09-20,298.28,-0.01,1.21,53.06,-0.02,1.49,-0.03,1.56,13.79,-26.45,4114.41,-1403.18,2711.23,-95.13
2019-09-23,298.21,-0.0,1.21,53.14,0.0,1.49,-0.0,1.56,13.79,-26.45,4113.44,-1405.29,2708.15,-102.44
2019-09-24,295.87,-0.01,1.2,51.83,-0.02,1.45,-0.02,1.53,13.79,-26.45,4081.16,-1370.65,2710.51,-30.79
2019-09-25,297.62,0.01,1.21,52.78,0.02,1.48,0.02,1.55,13.79,-26.45,4105.3,-1395.77,2709.53,-82.02
2019-09-26,297.0,-0.0,1.21,52.4,-0.01,1.47,-0.01,1.54,13.79,-26.45,4096.75,-1385.73,2711.02,-60.43
2019-09-27,295.4,-0.01,1.2,51.52,-0.02,1.44,-0.02,1.52,13.79,-26.45,4074.68,-1362.45,2712.23,-12.68
2019-09-30,296.77,0.0,1.21,52.31,0.02,1.47,0.01,1.54,13.79,-26.45,4093.58,-1383.35,2710.23,-56.46
2019-10-01,293.24,-0.01,1.19,50.39,-0.04,1.41,-0.04,1.48,13.79,-26.45,4044.89,-1332.57,2712.31,47.17
2019-10-02,288.06,-0.02,1.17,47.78,-0.05,1.34,-0.05,1.41,13.16,-27.08,3789.77,-1294.01,2495.75,-92.27
2019-10-03,290.42,0.01,1.18,48.86,0.02,1.37,0.02,1.44,13.16,-27.08,3820.81,-1323.26,2497.55,-148.97
2019-10-04,294.35,0.01,1.2,50.82,0.04,1.42,0.04,1.5,13.59,-26.65,4000.78,-1354.2,2646.58,-61.83
2019-10-07,293.08,-0.0,1.19,50.14,-0.01,1.41,-0.01,1.48,13.59,-26.65,3983.51,-1336.08,2647.43,-24.73
2019-10-08,288.53,-0.02,1.17,47.88,-0.05,1.34,-0.05,1.41,13.59,-26.65,3921.67,-1275.86,2645.81,94.1
2019-10-09,291.27,0.01,1.19,49.13,0.03,1.38,0.03,1.45,13.59,-26.65,3958.91,-1309.17,2649.75,31.41
2019-10-10,293.24,0.01,1.19,50.21,0.02,1.41,0.02,1.48,13.59,-26.65,3985.69,-1337.95,2647.74,-28.15
2019-10-11,296.28,0.01,1.21,51.73,0.03,1.45,0.03,1.53,13.59,-26.65,4027.01,-1378.45,2648.56,-108.34
2019-10-14,295.95,-0.0,1.2,51.59,-0.0,1.45,-0.0,1.52,13.59,-26.65,4022.52,-1374.72,2647.8,-101.63
2019-10-15,298.88,0.01,1.22,53.09,0.03,1.49,0.03,1.57,13.9,-26.34,4153.21,-1398.55,2754.66,-42.44
2019-10-16,298.4,-0.0,1.21,52.81,-0.01,1.48,-0.0,1.56,13.9,-26.34,4146.54,-1391.17,2755.36,-26.98
2019-10-17,299.28,0.0,1.22,53.19,0.01,1.49,0.01,1.57,13.9,-26.34,4158.77,-1401.18,2757.58,-44.79
2019-10-18,297.97,-0.0,1.21,52.5,-0.01,1.47,-0.01,1.55,13.9,-26.34,4140.56,-1383.01,2757.56,-8.46
2019-10-21,299.99,0.01,1.22,53.64,0.02,1.5,0.02,1.58,13.9,-26.34,4168.63,-1413.04,2755.59,-70.48
2019-10-22,299.01,-0.0,1.22,53.03,-0.01,1.49,-0.01,1.57,13.9,-26.34,4155.01,-1396.97,2758.05,-35.89
2019-10-23,299.88,0.0,1.22,53.53,0.01,1.5,0.01,1.58,13.9,-26.34,4167.1,-1410.14,2756.96,-63.32
2019-10-24,300.37,0.0,1.22,53.73,0.0,1.51,0.0,1.59,13.9,-26.34,4173.91,-1415.41,2758.5,-72.32
2019-10-25,301.6,0.0,1.23,54.46,0.01,1.53,0.01,1.61,13.9,-26.34,4191.0,-1434.64,2756.36,-112.91
2019-10-28,303.3,0.01,1.23,55.33,0.02,1.55,0.02,1.64,14.16,-26.08,4293.65,-1443.14,2850.51,-35.78
2019-10-29,303.21,-0.0,1.23,55.24,-0.0,1.55,-0.0,1.63,14.16,-26.08,4292.38,-1440.79,2851.58,-30.01
2019-10-30,304.14,0.0,1.24,55.74,0.01,1.56,0.01,1.65,14.16,-26.08,4305.54,-1453.84,2851.71,-55.97
2019-10-31,303.33,-0.0,1.23,55.24,-0.01,1.55,-0.01,1.64,14.16,-26.08,4294.08,-1440.79,2853.28,-28.31
2019-11-01,306.14,0.01,1.25,56.8,0.03,1.59,0.03,1.68,14.16,-26.08,4333.86,-1481.48,2852.37,-110.59
2019-11-04,307.37,0.0,1.25,57.45,0.01,1.61,0.01,1.7,14.16,-26.08,4351.27,-1498.44,2852.83,-144.04
2019-11-05,307.03,-0.0,1.25,57.26,-0.0,1.6,-0.0,1.7,14.16,-26.08,4346.45,-1493.48,2852.97,-133.99
2019-11-06,307.1,0.0,1.25,57.33,0.0,1.61,0.0,1.7,14.16,-26.08,4347.45,-1495.31,2852.14,-138.48
2019-11-07,308.18,0.0,1.25,57.95,0.01,1.62,0.01,1.72,14.44,-25.8,4448.58,-1495.34,2953.25,-37.42
2019-11-08,308.94,0.0,1.26,58.29,0.01,1.63,0.01,1.73,14.44,-25.8,4459.56,-1504.11,2955.45,-52.77
2019-11-11,308.35,-0.0,1.26,57.96,-0.01,1.62,-0.01,1.72,14.44,-25.8,4451.04,-1495.59,2955.45,-35.74
2019-11-12,309.0,0.0,1.26,58.29,0.01,1.63,0.01,1.73,14.44,-25.8,4460.42,-1504.11,2956.31,-51.9
2019-11-13,309.1,0.0,1.26,58.37,0.0,1.64,0.0,1.73,14.44,-25.8,4461.87,-1506.17,2955.69,-56.65
2019-11-14,309.55,0.0,1.26,58.64,0.0,1.64,0.0,1.74,14.44,-25.8,4468.36,-1513.14,2955.22,-71.06
2019-11-15,311.79,0.01,1.27,59.9,0.02,1.68,0.02,1.78,14.44,-25.8,4500.7,-1545.65,2955.04,-136.26
2019-11-18,312.02,0.0,1.27,59.95,0.0,1.68,0.0,1.78,14.44,-25.8,4504.02,-1546.94,2957.07,-136.81
2019-11-19,311.93,-0.0,1.27,59.9,-0.0,1.68,-0.0,1.78,14.44,-25.8,4502.72,-1545.65,2957.06,-134.24
2019-11-20,310.77,-0.0,1.27,59.27,-0.01,1.66,-0.01,1.76,14.44,-25.8,4485.97,-1529.4,2956.58,-102.22
2019-11-21,310.27,-0.0,1.26,58.99,-0.0,1.65,-0.0,1.75,14.44,-25.8,4478.75,-1522.17,2956.58,-87.76
2019-11-22,310.96,0.0,1.27,59.33,0.01,1.66,0.01,1.76,14.44,-25.8,4488.71,-1530.94,2957.77,-104.12
2019-11-25,313.37,0.01,1.28,60.69,0.02,1.7,0.02,1.8,14.71,-25.53,4610.81,-1549.13,3061.68,-36.58
2019-11-26,314.08,0.0,1.28,61.09,0.01,1.71,0.01,1.81,14.71,-25.53,4621.25,-1559.34,3061.91,-56.76
2019-11-27,315.48,0.0,1.28,61.88,0.01,1.73,0.01,1.84,14.71,-25.53,4641.85,-1579.5,3062.35,-96.66
2019-11-29,314.31,-0.0,1.28,61.22,-0.01,1.72,-0.01,1.82,14.71,-25.53,4624.64,-1562.66,3061.98,-63.33
2019-12-02,311.64,-0.01,1.27,59.61,-0.03,1.67,-0.03,1.77,14.71,-25.53,4585.35,-1521.56,3063.79,20.67
2019-12-03,309.55,-0.01,1.26,58.38,-0.02,1.64,-0.02,1.74,14.71,-25.53,4554.6,-1490.17,3064.44,84.1
2019-12-04,311.46,0.01,1.27,59.46,0.02,1.67,0.02,1.77,14.71,-25.53,4582.7,-1517.73,3064.97,29.5
2019-12-05,312.02,0.0,1.27,59.86,0.01,1.68,0.01,1.78,14.71,-25.53,4590.94,-1527.94,3063.0,7.11
2019-12-06,314.87,0.01,1.28,61.41,0.03,1.72,0.03,1.83,14.71,-25.53,4632.88,-1567.51,3065.37,-69.64
2019-12-09,313.88,-0.0,1.28,60.88,-0.01,1.71,-0.01,1.81,14.71,-25.53,4618.31,-1553.98,3064.33,-43.63
2019-12-10,313.53,-0.0,1.28,60.66,-0.0,1.7,-0.0,1.8,14.71,-25.53,4613.16,-1548.36,3064.8,-31.93
2019-12-11,314.42,0.0,1.28,61.17,0.01,1.71,0.01,1.82,14.71,-25.53,4626.26,-1561.38,3064.88,-57.89
2019-12-12,317.13,0.01,1.29,62.74,0.03,1.76,0.03,1.87,14.71,-25.53,4666.13,-1601.46,3064.67,-138.24
2019-12-13,317.32,0.0,1.29,62.8,0.0,1.76,0.0,1.87,14.71,-25.53,4668.93,-1602.99,3065.94,-140.04
2019-12-16,319.5,0.01,1.3,64.11,0.02,1.8,0.02,1.91,15.04,-25.2,4805.14,-1615.53,3189.61,-41.45
2019-12-17,319.57,0.0,1.3,64.13,0.0,1.8,0.0,1.91,15.04,-25.2,4806.19,-1616.03,3190.16,-41.91
2019-12-18,319.59,0.0,1.3,64.13,0.0,1.8,0.0,1.91,15.04,-25.2,4806.49,-1616.03,3190.46,-41.61
2019-12-19,320.9,0.0,1.31,64.94,0.01,1.82,0.01,1.93,15.04,-25.2,4826.2,-1636.45,3189.75,-83.14
2019-12-20,320.73,-0.0,1.31,65.89,0.01,1.85,-0.0,1.93,15.29,-24.95,4902.4,-1644.2,3258.19,-30.22
2019-12-23,321.22,0.0,1.31,65.76,-0.0,1.84,0.0,1.94,15.29,-24.95,4909.89,-1640.96,3268.93,-13.0
2019-12-24,321.23,0.0,1.31,65.78,0.0,1.84,0.0,1.94,15.29,-24.95,4910.04,-1641.46,3268.58,-14.34
2019-12-26,322.94,0.01,1.31,66.78,0.02,1.87,0.02,1.97,15.29,-24.95,4936.18,-1666.41,3269.76,-63.06
2019-12-27,322.86,-0.0,1.31,66.74,-0.0,1.87,-0.0,1.97,15.29,-24.95,4934.95,-1665.42,3269.54,-61.29
2019-12-30,321.08,-0.01,1.31,65.57,-0.02,1.84,-0.02,1.94,15.29,-24.95,4907.75,-1636.22,3271.53,-0.91
2019-12-31,321.86,0.0,1.31,66.08,0.01,1.85,0.01,1.95,15.29,-24.95,4919.67,-1648.95,3270.72,-27.17
2020-01-02,324.87,0.01,1.32,67.91,0.03,1.9,0.03,2.0,15.29,-24.95,4965.68,-1694.61,3271.07,-118.16
2020-01-03,322.41,-0.01,1.31,66.28,-0.02,1.86,-0.02,1.96,15.29,-24.95,4928.08,-1653.94,3274.14,-33.74
2020-01-06,323.64,0.0,1.32,67.05,0.01,1.88,0.01,1.98,15.29,-24.95,4946.88,-1673.15,3273.72,-72.58
2020-01-07,322.73,-0.0,1.31,66.54,-0.01,1.86,-0.01,1.96,15.29,-24.95,4932.97,-1660.42,3272.54,-48.31
2020-01-08,324.45,0.01,1.32,67.56,0.02,1.89,0.02,2.0,15.29,-24.95,4959.26,-1685.88,3273.38,-98.38
2020-01-09,326.65,0.01,1.33,68.93,0.02,1.93,0.02,2.04,15.54,-24.7,5076.54,-1702.41,3374.13,-30.7
2020-01-10,325.71,-0.0,1.33,68.28,-0.01,1.91,-0.01,2.02,15.54,-24.7,5061.93,-1686.36,3375.57,2.86
2020-01-13,327.95,0.01,1.33,69.76,0.02,1.96,0.02,2.06,15.54,-24.7,5096.74,-1722.91,3373.83,-71.99
2020-01-14,327.45,-0.0,1.33,69.38,-0.01,1.94,-0.0,2.05,15.54,-24.7,5088.97,-1713.53,3375.45,-51.6
2020-01-15,328.19,0.0,1.34,69.87,0.01,1.96,0.01,2.07,15.54,-24.7,5100.47,-1725.63,3374.84,-76.41
2020-01-16,330.92,0.01,1.35,71.51,0.02,2.0,0.02,2.12,15.78,-24.46,5220.65,-1749.33,3471.32,-27.35
2020-01-17,331.95,0.0,1.35,72.25,0.01,2.02,0.01,2.14,15.78,-24.46,5236.9,-1767.43,3469.46,-65.4
2020-01-21,331.3,-0.0,1.35,71.73,-0.01,2.01,-0.01,2.12,15.78,-24.46,5226.64,-1754.71,3471.93,-37.5
2020-01-22,331.34,0.0,1.35,71.84,0.0,2.01,0.0,2.13,15.78,-24.46,5227.27,-1757.4,3469.87,-44.94
2020-01-23,331.72,0.0,1.35,72.03,0.0,2.02,0.0,2.13,15.78,-24.46,5233.27,-1762.05,3471.22,-52.89
2020-01-24,328.77,-0.01,1.34,70.05,-0.03,1.96,-0.03,2.08,15.78,-24.46,5186.73,-1713.62,3473.11,45.88
2020-01-27,323.5,-0.02,1.32,66.7,-0.05,1.87,-0.05,1.98,15.25,-24.98,4934.97,-1666.43,3268.54,-64.32
2020-01-28,326.89,0.01,1.33,68.74,0.03,1.93,0.03,2.04,15.51,-24.73,5069.44,-1700.0,3369.44,-30.55
2020-01-29,326.62,-0.0,1.33,68.62,-0.0,1.92,-0.0,2.03,15.51,-24.73,5065.25,-1697.03,3368.22,-25.83
2020-01-30,327.68,0.0,1.33,69.26,0.01,1.94,0.01,2.05,15.51,-24.73,5081.69,-1712.86,3368.84,-56.88
2020-01-31,321.73,-0.02,1.31,65.5,-0.05,1.84,-0.05,1.94,15.51,-24.73,4989.42,-1619.87,3369.55,129.81
2020-02-03,324.12,0.01,1.32,66.89,0.02,1.87,0.02,1.98,15.51,-24.73,5026.48,-1654.24,3372.24,63.75
2020-02-04,329.06,0.02,1.34,70.01,0.05,1.96,0.05,2.07,15.51,-24.73,5103.09,-1731.4,3371.69,-91.12
2020-02-05,332.86,0.01,1.35,72.35,0.03,2.03,0.03,2.15,15.82,-24.42,5264.92,-1766.91,3498.01,-35.8
2020-02-06,333.98,0.0,1.36,73.13,0.01,2.05,0.01,2.17,15.82,-24.42,5282.64,-1785.96,3496.68,-75.23
2020-02-07,332.2,-0.01,1.35,71.91,-0.02,2.02,-0.02,2.13,15.82,-24.42,5254.48,-1756.16,3498.32,-14.0
2020-02-10,334.68,0.01,1.36,73.47,0.02,2.06,0.02,2.18,15.82,-24.42,5293.71,-1794.26,3499.45,-89.07
2020-02-11,335.26,0.0,1.36,73.92,0.01,2.07,0.01,2.19,15.82,-24.42,5302.88,-1805.25,3497.63,-112.87
2020-02-12,337.42,0.01,1.37,75.3,0.02,2.11,0.02,2.24,16.08,-24.16,5426.95,-1818.89,3608.06,-29.71
2020-02-13,337.06,-0.0,1.37,75.07,-0.0,2.1,-0.0,2.23,16.08,-24.16,5421.16,-1813.33,3607.83,-18.84
2020-02-14,337.6,0.0,1.37,75.38,0.0,2.11,0.0,2.24,16.08,-24.16,5429.85,-1820.82,3609.03,-32.62
2020-02-18,336.73,-0.0,1.37,74.7,-0.01,2.09,-0.01,2.22,16.08,-24.16,5415.86,-1804.4,3611.46,2.67
2020-02-19,338.34,0.0,1.38,75.83,0.02,2.13,0.01,2.25,16.08,-24.16,5441.75,-1831.69,3610.06,-53.32
2020-02-20,336.95,-0.0,1.37,74.93,-0.01,2.1,-0.01,2.23,16.08,-24.16,5419.39,-1809.95,3609.44,-10.46
2020-02-21,333.48,-0.01,1.36,72.51,-0.03,2.03,-0.03,2.16,16.08,-24.16,5363.58,-1751.5,3612.09,109.1
2020-02-24,322.42,-0.03,1.31,65.31,-0.1,1.83,-0.1,1.94,14.93,-25.31,4813.0,-1653.07,3159.93,-146.21
2020-02-25,312.65,-0.03,1.27,59.41,-0.09,1.67,-0.09,1.77,14.49,-25.75,4530.38,-1529.73,3000.65,-58.81
2020-02-26,311.5,-0.0,1.27,58.67,-0.01,1.64,-0.01,1.75,14.49,-25.75,4513.71,-1510.67,3003.04,-18.31
2020-02-27,297.51,-0.04,1.21,50.85,-0.13,1.43,-0.13,1.51,13.23,-27.0,3937.49,-1373.16,2564.33,-181.99
2020-02-28,296.26,-0.0,1.21,50.26,-0.01,1.41,-0.01,1.49,13.49,-26.75,3996.31,-1344.44,2651.87,-37.01
2020-03-02,309.09,0.04,1.26,56.52,0.12,1.58,0.13,1.69,14.08,-26.16,4352.53,-1478.4,2874.13,-82.68
2020-03-03,300.24,-0.03,1.22,51.71,-0.09,1.45,-0.09,1.54,13.53,-26.71,4063.25,-1380.94,2682.31,-79.58
2020-03-04,312.86,0.04,1.27,58.16,0.12,1.63,0.13,1.74,14.21,-26.03,4446.81,-1513.64,2933.17,-94.11
2020-03-05,302.46,-0.03,1.23,52.31,-0.1,1.47,-0.1,1.56,13.53,-26.71,4091.98,-1397.2,2694.78,-99.61
2020-03-06,297.46,-0.02,1.21,49.7,-0.05,1.39,-0.05,1.48,13.53,-26.71,4024.33,-1327.48,2696.85,41.89
2020-03-09,274.23,-0.08,1.12,38.16,-0.23,1.07,-0.23,1.14,10.68,-29.56,2928.78,-1127.97,1800.81,-455.13
2020-03-10,288.42,0.05,1.17,44.0,0.15,1.23,0.16,1.31,12.1,-28.13,3491.05,-1237.93,2253.12,-222.75
2020-03-11,274.36,-0.05,1.12,37.59,-0.15,1.05,-0.15,1.12,12.1,-28.13,3320.87,-1057.59,2263.28,148.1
2020-03-12,248.11,-0.1,1.01,26.81,-0.29,0.75,-0.29,0.8,7.5,-32.74,1861.38,-877.67,983.71,-771.63
2020-03-13,269.32,0.09,1.1,34.04,0.27,0.95,0.26,1.0,9.96,-30.28,2681.78,-1030.78,1651.01,-410.54
2020-03-16,239.85,-0.11,0.98,22.51,-0.34,0.63,-0.33,0.67,7.41,-32.82,1778.43,-738.87,1039.56,-438.18
2020-03-17,252.8,0.05,1.03,26.19,0.16,0.73,0.16,0.78,8.81,-31.43,2226.72,-823.17,1403.55,-242.79
2020-03-18,240.0,-0.05,0.98,22.24,-0.15,0.62,-0.15,0.66,8.81,-31.43,2113.98,-699.02,1414.96,16.92
2020-03-19,240.51,0.0,0.98,22.02,-0.01,0.62,0.01,0.67,8.81,-31.43,2118.47,-692.1,1426.37,42.16
2020-03-20,228.8,-0.05,0.93,19.12,-0.13,0.54,-0.15,0.57,6.96,-33.28,1591.59,-636.36,955.22,-317.51
2020-03-23,222.95,-0.03,0.91,17.55,-0.08,0.49,-0.08,0.53,7.41,-32.83,1651.61,-576.18,1075.43,-76.93
2020-03-24,243.15,0.09,0.99,22.43,0.28,0.63,0.27,0.67,8.25,-31.99,2005.22,-717.58,1287.64,-147.52
2020-03-25,246.79,0.01,1.0,23.27,0.04,0.65,0.04,0.7,8.65,-31.59,2134.3,-735.11,1399.19,-71.04
2020-03-26,261.2,0.06,1.06,27.41,0.18,0.77,0.18,0.82,9.3,-30.94,2428.31,-848.12,1580.19,-116.06
2020-03-27,253.42,-0.03,1.03,24.9,-0.09,0.7,-0.09,0.75,9.3,-30.94,2355.98,-770.46,1585.52,44.6
2020-03-30,261.65,0.03,1.07,27.29,0.1,0.76,0.1,0.82,9.3,-30.94,2432.5,-844.41,1588.08,-100.74
2020-03-31,257.75,-0.01,1.05,26.05,-0.05,0.73,-0.04,0.79,9.3,-30.94,2396.24,-806.04,1590.19,-21.89
2020-04-01,246.15,-0.05,1.0,22.59,-0.13,0.63,-0.14,0.68,7.88,-32.35,1940.72,-730.89,1209.83,-251.96
2020-04-02,251.83,0.02,1.03,24.12,0.07,0.68,0.07,0.73,8.59,-31.65,2163.34,-763.36,1399.98,-126.74
2020-04-03,248.19,-0.01,1.01,23.11,-0.04,0.65,-0.04,0.7,8.59,-31.65,2132.07,-731.4,1400.68,-62.11
2020-04-06,264.86,0.07,1.08,27.79,0.2,0.78,0.2,0.84,9.28,-30.96,2456.9,-860.45,1596.45,-124.46
2020-04-07,265.13,0.0,1.08,27.78,-0.0,0.78,0.0,0.84,9.28,-30.96,2459.41,-860.14,1599.26,-121.02
2020-04-08,274.03,0.03,1.12,30.61,0.1,0.86,0.1,0.92,9.83,-30.41,2692.63,-930.94,1761.7,-100.18
2020-04-09,278.2,0.02,1.13,31.98,0.04,0.9,0.05,0.97,10.16,-30.08,2825.71,-962.02,1863.69,-60.34
2020-04-13,275.66,-0.01,1.12,31.09,-0.03,0.87,-0.03,0.94,10.16,-30.08,2799.91,-935.24,1864.67,-5.82
2020-04-14,283.79,0.03,1.16,33.88,0.09,0.95,0.09,1.02,10.47,-29.77,2970.0,-1008.72,1961.28,-56.17
2020-04-15,277.76,-0.02,1.13,31.7,-0.06,0.89,-0.06,0.96,10.47,-29.77,2906.89,-943.82,1963.08,75.44
2020-04-16,279.1,0.0,1.14,32.18,0.02,0.9,0.01,0.97,10.47,-29.77,2920.92,-958.11,1962.81,46.59
2020-04-17,286.64,0.03,1.17,34.76,0.08,0.97,0.08,1.05,10.47,-29.77,2999.83,-1034.92,1964.9,-104.95
2020-04-20,281.59,-0.02,1.15,32.94,-0.05,0.92,-0.05,0.99,10.47,-29.77,2946.98,-980.74,1966.24,4.77
2020-04-21,273.04,-0.03,1.11,29.94,-0.09,0.84,-0.09,0.9,9.45,-30.79,2578.97,-921.96,1657.02,-186.9
2020-04-22,279.1,0.02,1.14,31.91,0.07,0.89,0.07,0.96,10.0,-30.24,2792.04,-964.8,1827.23,-102.38
2020-04-23,279.08,-0.0,1.14,31.85,-0.0,0.89,-0.0,0.96,10.0,-30.24,2791.84,-962.99,1828.85,-97.14
2020-04-24,282.97,0.01,1.15,33.24,0.04,0.93,0.04,1.0,10.33,-29.91,2922.9,-994.19,1928.71,-59.68
2020-04-27,287.05,0.01,1.17,34.66,0.04,0.97,0.04,1.05,10.33,-29.91,2965.05,-1036.66,1928.38,-144.95
2020-04-28,285.73,-0.0,1.16,34.2,-0.01,0.96,-0.01,1.03,10.33,-29.91,2951.41,-1022.91,1928.51,-117.31
2020-04-29,293.21,0.03,1.19,36.84,0.08,1.03,0.08,1.11,10.8,-29.44,3167.14,-1084.47,2082.67,-86.27
2020-04-30,290.48,-0.01,1.18,35.75,-0.03,1.0,-0.03,1.08,10.8,-29.44,3137.65,-1052.38,2085.27,-19.5
2020-05-01,282.79,-0.03,1.15,32.99,-0.08,0.92,-0.08,1.0,10.8,-29.44,3054.59,-971.14,2083.45,141.18
2020-05-04,283.57,0.0,1.15,33.22,0.01,0.93,0.01,1.0,10.8,-29.44,3063.01,-977.91,2085.1,129.29
2020-05-05,286.19,0.01,1.16,34.13,0.03,0.96,0.03,1.03,10.8,-29.44,3091.31,-1004.7,2086.62,77.23
2020-05-06,284.25,-0.01,1.16,33.46,-0.02,0.94,-0.02,1.01,10.8,-29.44,3070.36,-984.97,2085.38,115.44
2020-05-07,287.68,0.01,1.17,34.67,0.04,0.97,0.04,1.05,10.8,-29.44,3107.41,-1020.59,2086.81,45.63
