,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2019-04-26,293.41,0.0,1.19,52.02,0.01,1.46,0.01,1.53,13.83,-26.41,4057.22,-1373.91,2683.31,-64.5
2019-04-29,293.87,0.0,1.2,52.2,0.0,1.46,0.0,1.54,13.83,-26.41,4063.58,-1378.66,2684.92,-72.4
2019-04-30,294.02,0.0,1.2,52.3,0.0,1.47,0.0,1.54,13.83,-26.41,4065.65,-1381.3,2684.35,-78.25
2019-05-01,291.81,-0.01,1.19,51.15,-0.02,1.43,-0.02,1.5,13.83,-26.41,4035.09,-1350.93,2684.17,-17.69
2019-05-02,291.18,-0.0,1.19,50.8,-0.01,1.42,-0.01,1.49,13.83,-26.41,4026.38,-1341.68,2684.7,1.33
2019-05-03,294.03,0.01,1.2,52.25,0.03,1.46,0.03,1.54,13.83,-26.41,4065.79,-1379.98,2685.81,-74.15
2019-05-06,292.82,-0.0,1.19,51.64,-0.01,1.45,-0.01,1.52,13.83,-26.41,4049.06,-1363.87,2685.19,-42.55
2019-05-07,287.93,-0.02,1.17,49.06,-0.05,1.38,-0.05,1.44,13.83,-26.41,3981.44,-1295.73,2685.71,94.26
2019-05-08,287.53,-0.0,1.17,48.83,-0.0,1.37,-0.0,1.44,13.83,-26.41,3975.91,-1289.65,2686.26,106.95
2019-05-09,286.66,-0.0,1.17,48.45,-0.01,1.36,-0.01,1.42,13.83,-26.41,3963.88,-1279.62,2684.26,125.03
2019-05-10,288.1,0.01,1.17,48.97,0.01,1.37,0.02,1.44,13.83,-26.41,3983.79,-1293.35,2690.44,103.74
2019-05-13,280.86,-0.03,1.14,45.36,-0.07,1.27,-0.08,1.34,12.76,-27.48,3584.76,-1246.28,2338.48,-154.09
